Update Rate, Waits / Sec, Rollbacks / Sec, Ping
60,0,0,0
1600,0,0,0
1600,0,0,0
1600,0,0,0
73125.3,6,0,0
36437.9,41,3,256
20014.5,9,6,118
18330.2,7,9,114
18105.2,9,11,112
18368.3,0,2,111
18344.5,5,4,114
17685,10,10,116
19259.3,4,16,108
17793.1,5,12,116
18927.2,5,12,117
17998.2,4,11,115
17431.6,5,7,112
18350.4,4,13,116
19235.7,6,13,113
19712.8,7,14,118
18870.9,9,13,115
17229.6,3,15,110
20533,2,16,110
17945.9,5,14,113
18819,1,12,114
19792.9,3,13,119
18285.8,9,11,115
17770.8,5,13,112
17265.6,7,13,114
20292.5,2,16,118
19716.9,3,13,122
18518.6,1,17,120
18382.1,4,12,116
17457.1,10,8,113
19625,3,16,120
17930.6,5,11,112
18414.3,6,13,114
20366.4,3,14,113
18791.1,3,12,116
18753.4,6,13,110
17127.2,4,14,112
17214.8,5,12,114
19083.4,4,13,127
21370.6,2,10,120
16762.8,8,6,111
19440.2,15,15,109
19823.7,4,14,115
8122.99,0,1,115
20387,2,2,112
17893.3,2,2,114
17118.3,5,16,109
18314.6,8,11,116
18657.1,1,12,113
19541,1,10,112
19055.4,5,15,115
17223.6,5,12,111
17972,2,15,114
19312.7,8,12,114
18498.7,1,12,117
19672.8,4,9,111
17131.4,4,17,111
17710.4,0,12,109
19768.6,3,12,110
19770.7,0,13,124
19969.9,3,14,112
18848.2,5,10,116
18698.9,1,8,122
18112.5,7,12,115
17593.4,3,17,112
17662.1,5,10,110
16742,10,16,110
17792.2,4,13,112
18792.4,0,10,116
17911.1,6,12,109
18903.7,5,12,116
17516.2,4,13,109
23463.5,2,14,121
17093.7,4,14,110
16657.2,9,14,113
18355.4,5,15,111
20318,3,12,110
18239.5,7,11,111
19537.5,3,14,117
17408.3,4,14,113
20597.1,3,8,126
21767.8,3,13,127
17308.3,3,17,110
16891.1,4,18,113
19587.5,5,11,119
17911.2,6,14,114
17568.9,4,13,109
17503.1,7,11,119
19961.3,7,9,114
19706.4,3,12,121
18385.3,8,13,116
19603.8,4,10,114
17693.6,3,13,112
19184.8,2,12,120
17676.2,7,15,112
21620.8,2,16,113
20933.4,4,13,116
16988.9,8,14,114
18871.7,2,15,114
17641.1,5,17,115
17398.9,3,14,115
17613.8,7,11,115
18649.2,6,13,115
20372.3,2,14,117
20449.1,4,15,118
20955,6,13,114
16821.3,5,16,111
21200.9,3,18,128
20395.7,5,11,115
20057.1,7,15,117
22886.4,2,17,119
17614.9,1,12,116
17421,7,13,113
20924.9,3,13,121
19304.4,5,13,115
20633.7,3,12,112
18170.1,6,15,114
17248.8,4,13,112
20122.2,2,13,108
17503.2,5,12,112
18066.2,7,11,113
18453.8,5,14,109
20505.2,5,14,108
17458,5,11,120
19643.6,3,10,123
18752.2,5,17,121
17347.6,5,15,111
21364.2,3,17,120
19537.5,4,12,121
20697.1,6,13,123
17879.7,3,12,111
20101.4,2,16,114
17344.1,5,14,117
18961.4,2,13,114
18988.1,2,12,114
19375.6,5,14,118
20233.4,7,13,114
18005.1,5,15,116
18236.4,4,17,113
16912.1,3,15,114
18790.2,9,13,116
16815.5,5,14,111
18014.1,4,11,116
17735.2,4,12,114
21593.4,3,12,117
18241.3,8,9,115
17812.2,6,14,114
19846.3,5,13,117
19078.7,6,15,114
19896.3,1,14,110
20111.4,2,10,121
18801.5,7,19,142
17463,1,35,115
17982.4,0,32,120
16626.8,3,25,112
17686.7,2,30,125
16716.7,5,26,117
16650.4,6,25,122
17245.5,2,31,118
17072.1,0,29,118
16846.3,2,28,123
16661.7,5,25,120
19498.8,2,29,128
16680.2,3,35,123
16917.2,1,34,120
18451.5,0,25,132
16891.4,4,31,123
18270.4,2,25,126
17737.9,1,28,116
16689.3,4,29,115
16838.2,2,24,118
17169.3,2,30,115
17319.2,2,32,122
16667.3,3,27,117
16703.9,2,25,118
17180.1,3,32,123
16836.2,5,26,120
17145.5,4,29,115
17164.6,0,31,119
16892.7,3,31,125
16788.9,2,28,115
17149.4,1,33,114
17706.4,2,25,124
18647.2,1,29,137
17296.2,1,33,119
16740.4,1,31,120
16697.9,2,27,117
16862.7,3,29,119
16706.4,0,26,116
16695.5,3,31,118
17095.1,3,25,119
17646.9,0,26,120
17654.7,2,31,117
16692.3,2,23,116
16750.5,3,33,116
16755,3,27,125
17231.2,2,30,121
19260.2,1,33,126
16745.1,3,25,117
17823,1,29,121
16669.1,3,25,119
17035.6,2,28,119
16646.5,4,25,109
18734.1,3,25,139
16940.6,1,25,115
16651.5,0,26,115
17599.7,0,27,117
16768.3,2,29,114
16799.9,2,32,111
17643,2,27,118
17357.6,2,26,126
16654.5,28,10,125
16636.7,60,0,124
16609.8,60,0,125
16740.9,60,0,116
16635.4,60,0,117
16628.5,60,0,118
16658.4,60,0,117
16679.6,60,0,120
16650.5,60,0,120
16650.7,60,0,123
16643.5,60,0,116
16663.6,60,0,121
16621.2,60,0,114
16620.9,60,0,117
16630,60,0,124
16629.9,60,0,129
16617.6,60,0,124
16666.4,42,11,134
16648.7,14,14,112
19474.3,4,21,147
16970.8,7,18,112
16869.8,2,30,119
17455.7,4,27,125
16856.8,2,21,51
16639.2,4,0,65
16640.4,0,0,65
16615.7,0,1,66
16651,0,1,66
17185.3,1,0,66
16704.7,1,1,71
16636.5,0,0,67
16662.7,0,0,69
16643.1,0,0,68
16641.2,0,0,70
16645.2,0,0,69
16635.2,0,0,72
16642.1,0,0,70
16628.3,0,1,67
16635.6,0,1,75
16659.6,0,1,75
16641.9,0,0,72
16643.2,0,0,67
16642,0,0,67
16645.1,0,0,70
16636.3,0,1,68
16632.3,0,0,67
16645.8,0,1,69
16643,0,0,68
16643,0,0,68
16649,0,0,67
16650.7,0,0,68
16635.7,0,0,68
16653,0,1,67
16623.7,0,0,68
16635.1,0,0,72
16642.6,0,0,68
16640.7,0,0,67
16643.6,0,0,67
16642.8,0,0,66
16622.3,0,0,68
16643.9,0,1,68
16647.7,0,1,70
16642.7,0,0,67
16645.1,0,0,65
16644.8,0,0,66
16630.3,0,0,66
16633.8,0,0,65
16630.9,0,0,65
16635.2,0,0,64
16630.6,0,0,66
16632.3,0,1,71
16652,0,0,65
16656.6,1,2,82
16725.7,9,16,116
16639.7,13,13,107
16638.7,16,10,117
16636.8,4,20,127
16892.3,5,20,93
16643.8,9,18,111
16633.4,10,16,118
16818.1,5,18,106
16630.7,4,17,104
16689.5,12,11,131
16639.4,7,8,49
16627.2,3,1,39
16742.1,6,3,63
16637.1,7,3,39
16643.4,3,4,31
16640.5,10,4,64
16640.7,4,2,34
16638.3,4,2,71
16637.8,4,2,55
16625.6,6,2,20
16629.6,0,0,25
16661.2,0,0,30
16649.8,0,0,24
16625.6,0,0,22
16650,0,0,24
16647.1,0,0,24
16631.7,0,0,28
16639,0,0,28
16633.7,0,0,30
16650.8,0,0,29
27262.6,3,3,249
35646.2,6,4,223
38586.1,0,11,251
36691.9,1,13,233
37069.9,2,11,229
35890.7,1,7,221
37348.1,0,14,244
36915.5,0,12,241
38955.2,0,10,226
37767.2,0,11,246
36819,0,9,217
37502.8,0,12,248
37688.9,0,11,242
38314.3,0,12,240
38740.3,0,9,242
37546.7,0,13,243
38802.8,0,12,248
37289.7,0,10,246
35218.6,1,10,219
36602.1,1,9,241
36781.8,0,9,220
38167.6,0,13,246
37828.4,0,12,243
37378.4,0,13,249
37606.8,0,12,248
37176.3,0,13,241
36632.9,0,9,231
37305.3,0,9,235
37604.3,0,12,247
38443,0,12,242
35598.4,1,11,228
37736,0,13,244
37887.4,0,14,251
38017.3,0,15,240
37954.9,1,10,246
38714,0,15,246
38347.3,0,10,223
37524.2,1,11,239
37945.1,1,10,247
38237.9,0,13,248
37349.4,0,12,247
37439.7,0,12,248
38881.2,0,13,241
35419.2,2,15,214
36142.8,0,3,222
38050.6,0,15,246
39932,0,13,231
36109.2,0,9,236
36463.7,0,19,237
37911.5,0,16,249
37671.1,2,11,230
37233.3,0,11,247
37730.2,0,12,244
37758.6,0,11,243
37832.9,0,16,248
37242.1,0,11,232
37474.3,0,12,244
38462.9,0,13,245
36763.9,0,12,234
38109.4,0,15,245
39216.8,0,10,234
38013.5,0,11,250
36988.6,0,10,236
37611.1,0,15,238
35250.2,2,7,218
38513.8,0,10,247
37359.1,0,12,246
38284.4,0,12,244
38037.3,0,12,247
37441.1,0,12,245
38298.8,0,11,244
37181.6,1,10,231
35537.7,2,7,229
38094.2,0,11,247
37266.5,0,11,246
35043.3,1,10,215
35437.8,1,10,228
38599.3,1,9,246
37159.2,0,10,242
40211.5,0,11,236
38099.2,0,15,245
35038.8,2,6,218
16861.6,3,10,165
16750.7,6,27,170
16957.1,6,24,171
16643.8,10,28,196
16786,6,25,174
16916.3,4,26,173
16641,3,24,171
17329.4,6,22,193
16660.1,9,25,187
17168.3,5,25,179
18025.7,2,29,193
17941.6,0,26,189
20760.9,2,18,188
16617.6,8,32,173
18457.7,6,27,197
16642,10,22,188
16624.5,2,28,170
16716.2,3,26,168
23327.4,5,25,204
16653.3,12,24,187
16632.6,11,22,174
16639.7,9,23,172
17088.7,3,26,178
16896.2,1,25,170
16855.4,0,22,173
16848.6,0,25,175
27220.8,1,22,196
16686.1,9,22,184
16726.7,6,30,174
17295.9,1,27,180
16684.1,0,22,177
18983.1,0,24,193
18606.3,3,16,170
17478.8,0,23,181
18157,6,17,184
16832.8,9,27,174
18019,2,29,177
16673.7,2,26,175
16757.6,0,23,176
16744.1,4,23,176
16913.9,0,25,175
16783.8,0,23,172
16800.8,0,23,170
25136.2,0,25,206
17786.9,11,21,176
16630.4,14,23,180
19286.8,6,25,196
16711.9,11,14,191
16639.6,13,18,186
16989.8,14,11,192
22648,14,9,212
21620.9,18,11,199
16723.4,14,9,197
17586.9,8,6,194
18758.3,9,20,186
16641.2,12,12,193
16676,9,20,181
16642.8,1,28,174
16624.3,3,27,171
16646.6,2,26,171
18283.5,3,25,186
17725,4,25,182
17563.4,5,19,177
16684,11,10,184
16658,11,8,177
23847,15,11,211
19028.1,11,8,191
16637.5,11,20,171
16647.6,3,26,174
16640.2,4,27,181
16635.7,5,28,172
16733.8,1,24,175
16645.2,4,27,177
16644.3,5,28,176
16653.1,3,24,180
17054,5,26,195
16840.7,0,25,171
19179.8,0,23,200
21182.5,7,24,188
16645.5,6,24,168
17225.8,4,18,177
16618.9,4,26,172
16681.2,1,27,172
16635.9,0,23,174
17690,4,27,183
16697.2,8,18,175
16651.8,5,29,168
24140.9,2,19,189
16639.8,9,30,176
16839.1,3,24,179
17082.3,0,24,178
16734.8,8,25,172
17096.9,0,26,181
26480.9,1,17,186
16642.1,8,31,184
